slug,name,new_image_url
helvetia-bristol-firenze-italy,Helvetia & Bristol Firenze,https://x3jh6o6w.cdn.imgeng.in/assets/uploads/Starhotels-Collezione/Helvetia_Bristol/GALLERY/helvetia-bristol-fi-facciata1.jpg
herdade-da-malhadinha-nova-portugal,Herdade da Malhadinha Nova,https://www.malhadinhanova.pt/xms/img/1200x630/05cc3/emM9VCZxPTkwJmY9anBnJmZsdHJbXT0/L08zbS8tME0zWnJTbS96NnNYanJqbS92WkZSWi1NSlJaczdSdTMwc1lTMG1NN1N0enRka3I.jpg
hotel-bardo-savannah-united-states,Hotel Bardo Savannah,https://www.staybardo.com/content/uploads/2024/02/Bardo_Resort.34-scaled.jpg
hotel-boutique-casa-colonial-beach-spa-dominican-republic,Hotel Boutique Casa Colonial Beach & Spa,https://www.casacolonialhotel.com/media/uploads/cms_apps/imagenes/fachada-casa-colonial_H2S3k3n.webp?q=pr:sharp/rs:fill/w:1920/h:950/f:jpg
hotel-byblos-st-tropez-france,Hotel Byblos St. Tropez,https://www.byblos.com/wp-content/uploads/hotel-byblos-saint-tropez-1.jpg
hotel-byron-italy,Hotel Byron,https://cdn.blastness.biz/media/1060/Byron-gallery/thumbs/full/byron-aerea01-1024x768.jpg
hotel-caf-royal-london-united-kingdom,"Hotel Café Royal, London",https://www.hotelcaferoyal.com/content/uploads/2022/09/Hotel-Cafe-Royal-Exterior-DayRT-1024x778.jpg
hotel-casa-pestagua-colombia,Hotel Casa Pestagua,https://casapestagua.com/wp-content/uploads/2024/12/TRE_8237-HDR-2-scaled.jpg
hotel-chais-monnet-spa-france,Hotel Chais Monnet & Spa,https://cdn.prod.website-files.com/65721ada7b11346c175cd33a/69fc6285dc3f077ff541a85b_Exterieur-%C2%A9H%C3%B4tel-Chais-Monnet-_-Spa-_2__1%20(1).webp
hotel-danieli-venice-italy,"Hotel Danieli, Venice","https://www.fourseasons.com/alt/img-opt/~75.430.193,3333-0,0000-2613,3333-1960,0000/publish/content/dam/fourseasons/images/web/DAN/DAN_007_original.jpg"
hotel-eden-roc-switzerland,Hotel Eden Roc,https://images.ctfassets.net/61in5m6adgj1/3TLbSdd2rhntu3i3gN2TG9/f599b751a9b6a6620e9f13c5d45ce448/DSC00026.jpg?fm=webp&w=1008&h=550&q=90&fit=fill&f=center
hotel-esencia-mexico,Hotel Esencia,https://hotelesencia.com/share.jpg
hotel-jackson-united-states,Hotel Jackson,https://hoteljackson.com/wp-content/uploads/2026/04/architecture.jpg
hotel-kamp-finland,Hotel Kamp,https://d2t5mz3mhhuf34.cloudfront.net/Hotel-Kamp-Exterior-2000x1150.jpg?mtime=20240924111518
hotel-nassauer-hof-germany,Hotel Nassauer Hof,https://www.hommage-hotels.com/fileadmin/user_upload/Startseite_HNH_ab_1.1.2026-1.png
hotel-plaza-e-de-russie-italy,Hotel Plaza e de Russie,https://cdn.blastness.biz/media/1060/Plaza-top/thumbs/full/Plaza-storia01-1600x824.jpg
hotel-sanders-denmark,Hotel Sanders,https://hotelsanders.com/wp-content/uploads/2025/09/Sanders_reception_DanielRasmussen--scaled.jpg
hotel-dinghilterra-starhotels-collezione-italy,"Hotel d'Inghilterra, Starhotels Collezione",https://x3jh6o6w.cdn.imgeng.in/assets/uploads/Starhotels-Collezione/Hotel-d-inghilterra/GALLERY/hir-exterior-2023.jpg?imgeng=/w_1200/h_630/m_cropbox
hotel-de-paris-monte-carlo-monaco,Hotel de Paris Monte-Carlo,https://asset.montecarlosbm.com/styles/hero_image_desktop/s3/media/orphea/hotel-de-paris-monte-carlo-facade-de-jour-2024-013_1.jpg.jpeg?itok=O6KSQPx8
house-of-jasmines-argentina,House of Jasmines,https://www.houseofjasmines.com/wp-content/uploads/2025/10/House-of-Jasmines-1-1.webp
htel-de-paris-saint-tropez-france,Hôtel de Paris Saint-Tropez,https://hoteldeparis-sainttropez.com/wp-content/uploads/2023/08/FHA-Hotel-de-Paris-2A6A6277-1-1024x682.jpg
il-san-corrado-di-noto-italy,Il San Corrado di Noto,https://ilsancorradodinoto.com/cms-admin/materiale/pagine/elemento-217-41/img.jpg
il-san-pietro-di-positano-italy,Il San Pietro di Positano,https://www.ilsanpietro.com/wp-content/uploads/2020/06/the-san-pietro-life-50-years-pt3-02.jpg
inn-by-the-sea-united-states,Inn by the Sea,https://innbythesea.com/media/ueohdn23/2023-august-at-the-shore.jpg?width=720&height=720&format=webp&quality=80&ranchor=center
jackalope-hotel-australia,Jackalope Hotel,https://jackalopehotels.com/wp-content/uploads/2026/05/Frame-488-1.jpg
jade-mountain-saint-lucia,Jade Mountain,https://www.jademountain.com/images/home-bottom-aerial.jpeg
kamalaya-koh-samui-thailand,Kamalaya Koh Samui,https://kamalaya.com/wp-content/uploads/2021/03/WEB4.jpg
