"status","slug","name","current_url"
"404_BROKEN","maison-mtier-united-states","Maison Métier","https://media.virtuoso.com/m/Images/Brochures/16237350_2_6_0311.jpg"
"404_BROKEN","mandarin-oriental-bosphorus-istanbul-turkey","Mandarin Oriental Bosphorus, Istanbul","https://media.virtuoso.com/m/Images/Brochures/16328212_2_47_0304.jpg"
"404_BROKEN","mandarin-oriental-jumeira-dubai-united-arab-emirates","Mandarin Oriental Jumeira, Dubai","https://media.virtuoso.com/m/Images/Brochures/16527111_2_0_0308.jpg"
"404_BROKEN","mandarin-oriental-savoy-zurich-switzerland","Mandarin Oriental Savoy, Zurich","https://media.virtuoso.com/m/Images/Brochures/16786074_2_0_0308.jpg"
"404_BROKEN","mandarin-oriental-kuala-lumpur-malaysia","Mandarin Oriental, Kuala Lumpur","https://media.virtuoso.com/m/Images/Brochures/3901_2_0_0311.jpg"
"404_BROKEN","mandarin-oriental-prague-czech-republic","Mandarin Oriental, Prague","https://media.virtuoso.com/m/Images/Brochures/3891_2_1_0311.jpg"
"404_BROKEN","mandarin-oriental-tokyo-japan","Mandarin Oriental, Tokyo","https://media.virtuoso.com/m/Images/Brochures/4010_2_1_0306.jpg"
"404_BROKEN","manna-greece","MANNA","https://media.virtuoso.com/m/Images/Brochures/18048737_2_0_0311.jpg"
"404_BROKEN","masseria-san-domenico-italy","Masseria San Domenico","https://media.virtuoso.com/m/Images/Brochures/3976_2_25_0311.jpg"
"404_BROKEN","montage-laguna-beach-united-states","Montage Laguna Beach","https://media.virtuoso.com/m/Images/Brochures/3797_2_0_0225.jpg"
"404_BROKEN","montage-palmetto-bluff-united-states","Montage Palmetto Bluff","https://media.virtuoso.com/m/Images/Brochures/4581_2_0_0312.jpg"
"404_BROKEN","mykonos-grand-hotel-resort-greece","Mykonos Grand Hotel & Resort","https://media.virtuoso.com/m/Images/Brochures/15883196_2_0_0226.jpg"
"404_BROKEN","nobu-hotel-chicago-united-states","Nobu Hotel Chicago","https://media.virtuoso.com/m/Images/Brochures/18053463_2_0_0308.jpg"
"404_BROKEN","nobu-hotel-london-portman-square-united-kingdom","Nobu Hotel London Portman Square","https://media.virtuoso.com/m/Images/Brochures/16585535_2_0_0310.jpg"
"404_BROKEN","palacio-duhau-park-hyatt-buenos-aires-argentina","Palacio Duhau - Park Hyatt Buenos Aires","https://media.virtuoso.com/m/Images/Brochures/4119_2_0_0308.jpg"
"404_BROKEN","palazzo-avino-italy","Palazzo Avino","https://media.virtuoso.com/m/Images/Brochures/4312_2_47_0310.jpg"
"404_BROKEN","prisi-udvar-hotel-budapest-in-the-unbound-collection-by-hyatt-hungary","Párisi Udvar Hotel Budapest, in The Unbound Collection by Hyatt","https://media.virtuoso.com/m/Images/Brochures/18048712_2_0_0310.jpg"
"404_BROKEN","park-hyatt-aviara-resort-golf-club-and-spa-united-states","Park Hyatt Aviara Resort, Golf Club and Spa","https://media.virtuoso.com/m/Images/Brochures/4524_2_27_0311.jpg"
"404_BROKEN","park-hyatt-beijing-china","Park Hyatt Beijing","https://media.virtuoso.com/m/Images/Brochures/4239375_2_0_0313.jpg"
"404_BROKEN","park-hyatt-istanbul-macka-palas-turkey","Park Hyatt Istanbul - Macka Palas","https://media.virtuoso.com/m/Images/Brochures/5300660_2_3_0315.jpg"
"404_BROKEN","park-hyatt-marrakech-morocco","Park Hyatt Marrakech","https://media.virtuoso.com/m/Images/Brochures/18218801_2_0_0225.jpg"
"404_BROKEN","park-hyatt-melbourne-australia","Park Hyatt Melbourne","https://media.virtuoso.com/m/Images/Brochures/4438_2_0_0316.jpg"
"404_BROKEN","park-hyatt-milano-italy","Park Hyatt Milano","https://media.virtuoso.com/m/Images/Brochures/4475_2_57_0309.jpg"
"404_BROKEN","park-hyatt-new-york-united-states","Park Hyatt New York","https://media.virtuoso.com/m/Images/Brochures/12629666_2_0_0310.jpg"
"404_BROKEN","park-hyatt-paris-vendome-france","Park Hyatt Paris-Vendome","https://media.virtuoso.com/m/Images/Brochures/4354_2_0_0310.jpg"
"404_BROKEN","park-hyatt-seoul-south-korea","Park Hyatt Seoul","https://media.virtuoso.com/m/Images/Brochures/4031_2_0_0311.jpg"
"404_BROKEN","park-hyatt-siem-reap-cambodia","Park Hyatt Siem Reap","https://media.virtuoso.com/m/Images/Brochures/687867_2_63_0312.jpg"
"404_BROKEN","park-hyatt-sydney-australia","Park Hyatt Sydney","https://media.virtuoso.com/m/Images/Brochures/4072_2_0_0308.jpg"
"404_BROKEN","park-hyatt-zurich-switzerland","Park Hyatt Zurich","https://media.virtuoso.com/m/Images/Brochures/4450_2_4_0311.jpg"
"404_BROKEN","passalacqua-italy","Passalacqua","https://media.virtuoso.com/m/Images/Brochures/16360291_2_0_0224.jpg"
"404_BROKEN","patina-osaka-japan","Patina Osaka","https://media.virtuoso.com/m/Images/Brochures/18391398_2_0_0311.jpg"
"404_BROKEN","pendry-san-diego-united-states","Pendry San Diego","https://media.virtuoso.com/m/Images/Brochures/15492863_2_0_0309.jpg"
"404_BROKEN","petra-segreta-resort-spa-italy","Petra Segreta Resort & Spa","https://media.virtuoso.com/m/Images/Brochures/18231287_2_0_0326.jpg"
"404_BROKEN","qualia-great-barrier-reef-australia","qualia, Great Barrier Reef","https://media.virtuoso.com/m/Images/Brochures/3734_2_8_0227.jpg"
"404_BROKEN","raffles-boston-united-states","Raffles Boston","https://media.virtuoso.com/m/Images/Brochures/16508159_2_0_0308.jpg"
"404_BROKEN","raffles-dubai-united-arab-emirates","Raffles Dubai","https://media.virtuoso.com/m/Images/Brochures/11275367_2_0_0228.jpg"
"404_BROKEN","raffles-makati-philippines","Raffles Makati","https://media.virtuoso.com/m/Images/Brochures/14363642_2_0_0305.jpg"
"404_BROKEN","ritz-paris-france","Ritz Paris","https://media.virtuoso.com/m/Images/Brochures/3805_2_0_0228.jpg"
"404_BROKEN","rockresorts-the-arrabelle-at-vail-square-united-states","RockResorts - The Arrabelle at Vail Square","https://media.virtuoso.com/m/Images/Brochures/4395_2_0_0311.jpg"
"404_BROKEN","royal-palms-resort-and-spa-united-states","Royal Palms Resort and Spa","https://media.virtuoso.com/m/Images/Brochures/4371_2_0_0310.jpg"
"404_BROKEN","salamander-middleburg-united-states","Salamander Middleburg","https://media.virtuoso.com/m/Images/Brochures/14729722_2_0_0314.jpg"
"404_BROKEN","salamander-washington-dc-united-states","Salamander Washington DC","https://media.virtuoso.com/m/Images/Brochures/4095_2_1_0308.jpg"
"404_BROKEN","selman-marrakech-morocco","Selman Marrakech","https://media.virtuoso.com/m/Images/Brochures/16383241_2_5_0312.jpg"
"404_BROKEN","shangri-la-china-world-summit-wing-beijing-china","Shangri-La China World Summit Wing, Beijing","https://media.virtuoso.com/m/Images/Brochures/6160086_2_10_0315.jpg"
"404_BROKEN","shangri-la-jeddah-saudi-arabia","Shangri-La Jeddah","https://media.virtuoso.com/m/Images/Brochures/16352958_2_0_0304.jpg"
"404_BROKEN","shangri-la-paris-france","Shangri-La Paris","https://media.virtuoso.com/m/Images/Brochures/11133720_2_0_0306.jpg"
"404_BROKEN","six-senses-kaplankaya-turkey","Six Senses Kaplankaya","https://media.virtuoso.com/m/Images/Brochures/16707500_2_0_0311.jpg"
"404_BROKEN","six-senses-rome-italy","Six Senses Rome","https://media.virtuoso.com/m/Images/Brochures/16648038_2_0_0311.jpg"
"404_BROKEN","six-senses-yao-noi-thailand","Six Senses Yao Noi","https://media.virtuoso.com/m/Images/Brochures/4021_2_0_0311.jpg"
"404_BROKEN","so-auckland-new-zealand","SO/ Auckland","https://media.virtuoso.com/m/Images/Brochures/15991908_2_3_0227.jpg"
"404_BROKEN","so-berlin-das-stue-germany","SO/ Berlin Das Stue","https://media.virtuoso.com/m/Images/Brochures/14853603_2_13_0322.jpg"
"404_BROKEN","sofitel-chicago-magnificent-mile-united-states","Sofitel Chicago Magnificent Mile","https://media.virtuoso.com/m/Images/Brochures/4601_2_0_0312.jpg"
"404_BROKEN","sofitel-kia-ora-moorea-beach-resort-french-polynesia","Sofitel Kia Ora Moorea Beach Resort","https://media.virtuoso.com/m/Images/Brochures/16395455_2_0_0308.jpg"
"404_BROKEN","sofitel-mexico-city-reforma-mexico","Sofitel Mexico City Reforma","https://media.virtuoso.com/m/Images/Brochures/15996396_2_0_0227.jpg"
"404_BROKEN","solaz-a-luxury-collection-resort-los-cabos-mexico","Solaz, a Luxury Collection Resort Los Cabos","https://media.virtuoso.com/m/Images/Brochures/16158607_2_0_0225.jpg"
"404_BROKEN","sommerro-norway","Sommerro","https://media.virtuoso.com/m/Images/Brochures/16780947_2_0_0315.jpg"
"404_BROKEN","songtsam-linka-retreat-lhasa-china","Songtsam Linka Retreat Lhasa","https://media.virtuoso.com/m/Images/Brochures/16429645_2_0_0226.jpg"
"404_BROKEN","sonora-resort-canada-canada","Sonora Resort Canada","https://media.virtuoso.com/m/Images/Brochures/5597880_2_0_0315.jpg"
"404_BROKEN","southall-farm-inn-united-states","Southall Farm & Inn","https://media.virtuoso.com/m/Images/Brochures/16707492_2_18_0305.jpg"
"404_BROKEN","spicers-peak-lodge-australia","Spicers Peak Lodge","https://media.virtuoso.com/m/Images/Brochures/16389589_2_1_0221.jpg"
"404_BROKEN","st-nicolas-bay-resort-hotel-villas-greece","St. Nicolas Bay Resort Hotel & Villas","https://media.virtuoso.com/m/Images/Brochures/16767574_2_0_0314.jpg"
"404_BROKEN","steigenberger-icon-frankfurter-hof-germany","Steigenberger Icon Frankfurter Hof","https://media.virtuoso.com/m/Images/Brochures/16393424_2_0_0305.jpg"
"404_BROKEN","steigenberger-icon-wiltchers-belgium","Steigenberger Icon Wiltcher's","https://media.virtuoso.com/m/Images/Brochures/15658702_2_17_0307.jpg"
"404_BROKEN","sundance-mountain-resort-united-states","Sundance Mountain Resort","https://media.virtuoso.com/m/Images/Brochures/4296_2_0_0310.jpg"
"404_BROKEN","sur-mesure-private-homes-france","Sur-Mesure Private Homes","https://media.virtuoso.com/m/Images/Brochures/18333788_2_0_0318.jpg"
"404_BROKEN","terre-blanche-htel-spa-golf-resort-france","Terre Blanche Hôtel Spa Golf Resort","https://media.virtuoso.com/m/Images/Brochures/3871_2_0_0304.jpg"
"404_BROKEN","the-amauris-vienna-austria","The Amauris Vienna","https://media.virtuoso.com/m/Images/Brochures/18052948_2_0_0315.jpg"
"404_BROKEN","the-artist-grand-hotel-of-art-spain","The Artist Grand Hotel of Art","https://media.virtuoso.com/m/Images/Brochures/6946547_2_16_0314.jpg"
"404_BROKEN","the-berkeley-london-united-kingdom","The Berkeley, London","https://media.virtuoso.com/m/Images/Brochures/4471_2_0_0325.jpg"
"404_BROKEN","the-calile-brisbane-australia","The Calile Brisbane","https://media.virtuoso.com/m/Images/Brochures/17906048_2_0_0223.jpg"
"404_BROKEN","the-canyon-suites-at-the-phoenician-a-luxury-collection-resort-scottsdale-united-states","The Canyon Suites at The Phoenician, a Luxury Collection Resort, Scottsdale","https://media.virtuoso.com/m/Images/Brochures/4173456_2_32_0310.jpg"
"404_BROKEN","the-charleston-place-united-states","The Charleston Place","https://media.virtuoso.com/m/Images/Brochures/3398_2_11_0227.jpg"
"404_BROKEN","the-chatwal-lodge-united-states","The Chatwal Lodge","https://media.virtuoso.com/m/Images/Brochures/16896477_2_0_0224.jpg"
"404_BROKEN","the-connaught-london-united-kingdom","The Connaught, London","https://media.virtuoso.com/m/Images/Brochures/4415_2_0_0315.jpg"
"404_BROKEN","the-edinburgh-grand-a-luxury-collection-hotel-edinburgh-united-kingdom","The Edinburgh Grand, a Luxury Collection Hotel, Edinburgh","https://media.virtuoso.com/m/Images/Brochures/16353010_2_0_0310.jpg"
"404_BROKEN","the-europe-hotel-resort-ireland","The Europe Hotel & Resort","https://media.virtuoso.com/m/Images/Brochures/16503239_2_0_0302.jpg"
"404_BROKEN","the-excelsior-a-luxury-collection-hotel-florence-italy","The Excelsior, a Luxury Collection Hotel, Florence","https://media.virtuoso.com/m/Images/Brochures/4641_2_0_0307.jpg"
"404_BROKEN","the-fairmont-chateau-lake-louise-canada","The Fairmont Chateau Lake Louise","https://media.virtuoso.com/m/Images/Brochures/4580_2_0_0311.jpg"
"404_BROKEN","the-fairmont-chateau-whistler-canada","The Fairmont Chateau Whistler","https://media.virtuoso.com/m/Images/Brochures/4466_2_7_0311.jpg"
"404_BROKEN","the-grand-york-united-kingdom","The Grand, York","https://media.virtuoso.com/m/Images/Brochures/16021349_2_4_0226.jpg"
